Enzyme ID	Enzyme Name	Gene Count	
EC:1.-	Oxidoreductases.	8	
EC:1.1.1.-	Oxidoreductases. Acting on the CH-OH group of donors. With NAD(+) or NADP(+) as acceptor.	5	
EC:1.1.1.1	Alcohol dehydrogenase.	8	
EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase.	26	
EC:1.1.1.133	dTDP-4-dehydrorhamnose reductase.	13	
EC:1.1.1.14	L-iditol 2-dehydrogenase.	14	
EC:1.1.1.140	Sorbitol-6-phosphate 2-dehydrogenase.	1	
EC:1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase.	5	
EC:1.1.1.159	7-alpha-hydroxysteroid dehydrogenase.	1	
EC:1.1.1.169	2-dehydropantoate 2-reductase.	6	
EC:1.1.1.17	Mannitol-1-phosphate 5-dehydrogenase.	4	
EC:1.1.1.18	Inositol 2-dehydrogenase.	3	
EC:1.1.1.193	5-amino-6-(5-phosphoribosylamino)uracil reductase.	6	
EC:1.1.1.2	Alcohol dehydrogenase (NADP(+)).	1	
EC:1.1.1.205	IMP dehydrogenase.	10	
EC:1.1.1.219	Dihydrokaempferol 4-reductase.	2	
EC:1.1.1.22	UDP-glucose 6-dehydrogenase.	3	
EC:1.1.1.23	Histidinol dehydrogenase.	15	
EC:1.1.1.25	Shikimate dehydrogenase.	17	
EC:1.1.1.261	sn-glycerol-1-phosphate dehydrogenase.	6	
EC:1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase.	15	
EC:1.1.1.27	L-lactate dehydrogenase.	14	
EC:1.1.1.28	D-lactate dehydrogenase.	3	
EC:1.1.1.29	Glycerate dehydrogenase.	7	
EC:1.1.1.3	Homoserine dehydrogenase.	10	
EC:1.1.1.302	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase.	1	
EC:1.1.1.31	3-hydroxyisobutyrate dehydrogenase.	2	
EC:1.1.1.336	UDP-N-acetyl-D-mannosamine dehydrogenase.	1	
EC:1.1.1.337	L-2-hydroxycarboxylate dehydrogenase (NAD(+)).	1	
EC:1.1.1.346	2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming).	1	
EC:1.1.1.38	Malate dehydrogenase (oxaloacetate-decarboxylating).	9	
EC:1.1.1.41	Isocitrate dehydrogenase (NAD(+)).	1	
EC:1.1.1.42	Isocitrate dehydrogenase (NADP(+)).	6	
EC:1.1.1.44	Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating).	1	
EC:1.1.1.49	Glucose-6-phosphate dehydrogenase (NADP(+)).	2	
EC:1.1.1.57	Fructuronate reductase.	5	
EC:1.1.1.58	Tagaturonate reductase.	1	
EC:1.1.1.6	Glycerol dehydrogenase.	8	
EC:1.1.1.60	2-hydroxy-3-oxopropionate reductase.	1	
EC:1.1.1.69	Gluconate 5-dehydrogenase.	2	
EC:1.1.1.77	Lactaldehyde reductase.	4	
EC:1.1.1.83	D-malate dehydrogenase (decarboxylating).	1	
EC:1.1.1.85	3-isopropylmalate dehydrogenase.	5	
EC:1.1.1.86	Ketol-acid reductoisomerase (NADP(+)).	4	
EC:1.1.1.94	Glycerol-3-phosphate dehydrogenase (NAD(P)(+)).	14	
EC:1.1.1.95	Phosphoglycerate dehydrogenase.	18	
EC:1.1.2.4	D-lactate dehydrogenase (cytochrome).	1	
EC:1.1.3.15	(S)-2-hydroxy-acid oxidase.	2	
EC:1.1.5.3	Glycerol-3-phosphate dehydrogenase.	10	
EC:1.11.1.15	Peroxiredoxin.	4	
EC:1.11.1.6	Catalase.	1	
EC:1.12.1.3	Hydrogen dehydrogenase (NADP(+)).	1	
EC:1.12.98.1	Coenzyme F420 hydrogenase.	4	
EC:1.12.99.-	Oxidoreductases. Acting on hydrogen as donors. With other acceptors.	4	
EC:1.12.99.6	Hydrogenase (acceptor).	2	
EC:1.15.1.2	Superoxide reductase.	6	
EC:1.17.1.2	4-hydroxy-3-methylbut-2-enyl diphosphate reductase.	5	
EC:1.17.1.4	Xanthine dehydrogenase.	2	
EC:1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase.	6	
EC:1.17.4.1	Ribonucleoside-diphosphate reductase.	4	
EC:1.17.4.2	Ribonucleoside-triphosphate reductase.	21	
