Enzyme ID	Enzyme Name	Gene Count	
EC:1.-	Oxidoreductases.	4	
EC:1.1.-	Oxidoreductases. Acting on the CH-OH group of donors.	3	
EC:1.1.1.1	Alcohol dehydrogenase.	1	
EC:1.1.1.10	L-xylulose reductase.	2	
EC:1.1.1.102	3-dehydrosphinganine reductase.	1	
EC:1.1.1.103	L-threonine 3-dehydrogenase.	1	
EC:1.1.1.105	All-trans-retinol dehydrogenase (NAD(+)).	2	
EC:1.1.1.14	L-iditol 2-dehydrogenase.	3	
EC:1.1.1.141	15-hydroxyprostaglandin dehydrogenase (NAD(+)).	23	
EC:1.1.1.153	Sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming).	1	
EC:1.1.1.178	3-hydroxy-2-methylbutyryl-CoA dehydrogenase.	2	
EC:1.1.1.179	D-xylose 1-dehydrogenase (NADP(+)).	2	
EC:1.1.1.184	Carbonyl reductase (NADPH).	6	
EC:1.1.1.189	Prostaglandin-E(2) 9-reductase.	6	
EC:1.1.1.197	15-hydroxyprostaglandin dehydrogenase (NADP(+)).	6	
EC:1.1.1.205	IMP dehydrogenase.	1	
EC:1.1.1.21	Aldehyde reductase.	13	
EC:1.1.1.211	Long-chain-3-hydroxyacyl-CoA dehydrogenase.	1	
EC:1.1.1.216	Farnesol dehydrogenase.	1	
EC:1.1.1.22	UDP-glucose 6-dehydrogenase.	1	
EC:1.1.1.239	3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+)).	1	
EC:1.1.1.27	L-lactate dehydrogenase.	1	
EC:1.1.1.271	GDP-L-fucose synthase.	1	
EC:1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase.	1	
EC:1.1.1.300	NADP-retinol dehydrogenase.	1	
EC:1.1.1.31	3-hydroxyisobutyrate dehydrogenase.	1	
EC:1.1.1.330	Very-long-chain 3-oxoacyl-CoA reductase.	1	
EC:1.1.1.34	Hydroxymethylglutaryl-CoA reductase (NADPH).	1	
EC:1.1.1.343	Phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating).	1	
EC:1.1.1.35	3-hydroxyacyl-CoA dehydrogenase.	6	
EC:1.1.1.363	Glucose-6-phosphate dehydrogenase (NAD(P)(+)).	1	
EC:1.1.1.37	Malate dehydrogenase.	8	
EC:1.1.1.40	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)).	4	
EC:1.1.1.41	Isocitrate dehydrogenase (NAD(+)).	5	
EC:1.1.1.42	Isocitrate dehydrogenase (NADP(+)).	2	
EC:1.1.1.44	Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating).	1	
EC:1.1.1.45	L-gulonate 3-dehydrogenase.	1	
EC:1.1.1.49	Glucose-6-phosphate dehydrogenase (NADP(+)).	1	
EC:1.1.1.62	17-beta-estradiol 17-dehydrogenase.	2	
EC:1.1.1.79	Glyoxylate reductase (NADP(+)).	3	
EC:1.1.1.8	Glycerol-3-phosphate dehydrogenase (NAD(+)).	1	
EC:1.1.1.81	Hydroxypyruvate reductase.	3	
EC:1.1.1.95	Phosphoglycerate dehydrogenase.	1	
EC:1.1.3.15	(S)-2-hydroxy-acid oxidase.	1	
EC:1.1.5.3	Glycerol-3-phosphate dehydrogenase.	1	
EC:1.1.5.9	Glucose 1-dehydrogenase (FAD, quinone).	1	
EC:1.1.99.1	Choline dehydrogenase.	30	
EC:1.1.99.2	L-2-hydroxyglutarate dehydrogenase.	1	
EC:1.1.99.24	Hydroxyacid-oxoacid transhydrogenase.	2	
EC:1.10.2.2	Quinol--cytochrome-c reductase.	2	
EC:1.11.1.-	Oxidoreductases. Acting on a peroxide as acceptor. Peroxidases.	1	
EC:1.11.1.15	Peroxiredoxin.	5	
EC:1.11.1.20	Prostamide/prostaglandin F(2-alpha) synthase.	1	
EC:1.11.1.6	Catalase.	7	
EC:1.11.1.7	Peroxidase.	4	
EC:1.11.1.9	Glutathione peroxidase.	1	
EC:1.13.11.11	Tryptophan 2,3-dioxygenase.	1	
EC:1.13.11.18	Persulfide dioxygenase.	3	
EC:1.13.11.19	Cysteamine dioxygenase.	1	
EC:1.13.11.20	Cysteine dioxygenase.	2	
EC:1.13.11.27	4-hydroxyphenylpyruvate dioxygenase.	2	
EC:1.13.11.5	Homogentisate 1,2-dioxygenase.	1	
EC:1.13.11.53	Acireductone dioxygenase (Ni(2+)-requiring).	1	
EC:1.13.11.54	Acireductone dioxygenase (Fe(2+)-requiring).	1	
EC:1.13.11.65	Carotenoid isomerooxygenase.	1	
EC:1.13.99.1	Inositol oxygenase.	2	
EC:1.14.-	Oxidoreductases. Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2).	59	
EC:1.14.11.-	Oxidoreductases. Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2). With 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors.	13	
EC:1.14.11.1	Gamma-butyrobetaine dioxygenase.	1	
EC:1.14.11.16	Peptide-aspartate beta-dioxygenase.	1	
EC:1.14.11.18	Phytanoyl-CoA dioxygenase.	2	
EC:1.14.11.2	Procollagen-proline dioxygenase.	1	
EC:1.14.11.27	[Histone H3]-lysine-36 demethylase.	4	
EC:1.14.11.29	Hypoxia-inducible factor-proline dioxygenase.	1	
EC:1.14.11.4	Procollagen-lysine 5-dioxygenase.	2	
