Enzyme ID	Enzyme Name	Gene Count	
EC:1.-	Oxidoreductases.	8	
EC:1.1.-	Oxidoreductases. Acting on the CH-OH group of donors.	1	
EC:1.1.1.1	Alcohol dehydrogenase.	3	
EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase.	5	
EC:1.1.1.103	L-threonine 3-dehydrogenase.	1	
EC:1.1.1.133	dTDP-4-dehydrorhamnose reductase.	3	
EC:1.1.1.169	2-dehydropantoate 2-reductase.	1	
EC:1.1.1.193	5-amino-6-(5-phosphoribosylamino)uracil reductase.	1	
EC:1.1.1.205	IMP dehydrogenase.	1	
EC:1.1.1.22	UDP-glucose 6-dehydrogenase.	1	
EC:1.1.1.23	Histidinol dehydrogenase.	1	
EC:1.1.1.25	Shikimate dehydrogenase.	1	
EC:1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase.	1	
EC:1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase.	1	
EC:1.1.1.28	D-lactate dehydrogenase.	1	
EC:1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase.	1	
EC:1.1.1.29	Glycerate dehydrogenase.	1	
EC:1.1.1.290	4-phosphoerythronate dehydrogenase.	1	
EC:1.1.1.3	Homoserine dehydrogenase.	2	
EC:1.1.1.31	3-hydroxyisobutyrate dehydrogenase.	1	
EC:1.1.1.343	Phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating).	1	
EC:1.1.1.35	3-hydroxyacyl-CoA dehydrogenase.	2	
EC:1.1.1.363	Glucose-6-phosphate dehydrogenase (NAD(P)(+)).	1	
EC:1.1.1.37	Malate dehydrogenase.	1	
EC:1.1.1.38	Malate dehydrogenase (oxaloacetate-decarboxylating).	1	
EC:1.1.1.40	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)).	1	
EC:1.1.1.41	Isocitrate dehydrogenase (NAD(+)).	1	
EC:1.1.1.42	Isocitrate dehydrogenase (NADP(+)).	1	
EC:1.1.1.44	Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating).	1	
EC:1.1.1.49	Glucose-6-phosphate dehydrogenase (NADP(+)).	1	
EC:1.1.1.6	Glycerol dehydrogenase.	1	
EC:1.1.1.60	2-hydroxy-3-oxopropionate reductase.	1	
EC:1.1.1.85	3-isopropylmalate dehydrogenase.	1	
EC:1.1.1.86	Ketol-acid reductoisomerase (NADP(+)).	1	
EC:1.1.1.94	Glycerol-3-phosphate dehydrogenase (NAD(P)(+)).	1	
EC:1.1.1.95	Phosphoglycerate dehydrogenase.	1	
EC:1.1.3.48	3-deoxy-alpha-D-manno-octulosonate 8-oxidase.	1	
EC:1.1.5.3	Glycerol-3-phosphate dehydrogenase.	1	
EC:1.1.99.1	Choline dehydrogenase.	1	
EC:1.10.2.2	Quinol--cytochrome-c reductase.	1	
EC:1.10.3.-	Oxidoreductases. Acting on diphenols and related substances as donors. With oxygen as acceptor.	7	
EC:1.11.1.15	Peroxiredoxin.	4	
EC:1.11.1.21	Catalase peroxidase.	1	
EC:1.11.1.5	Cytochrome-c peroxidase.	1	
EC:1.11.1.6	Catalase.	2	
EC:1.11.1.9	Glutathione peroxidase.	2	
EC:1.12.5.1	Hydrogen:quinone oxidoreductase.	2	
EC:1.13.11.27	4-hydroxyphenylpyruvate dioxygenase.	1	
EC:1.13.11.5	Homogentisate 1,2-dioxygenase.	1	
EC:1.13.12.16	Nitronate monooxygenase.	1	
EC:1.14.11.-	Oxidoreductases. Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2). With 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors.	1	
EC:1.14.11.47	50S ribosomal protein L16 3-hydroxylase.	2	
EC:1.14.12.17	Nitric oxide dioxygenase.	1	
EC:1.14.13.-	Oxidoreductases. Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2). With NADH or NADPH as one donor, and incorporation of one atom of oxygen.	3	
EC:1.14.13.59	L-lysine N(6)-monooxygenase (NADPH).	1	
EC:1.14.16.1	Phenylalanine 4-monooxygenase.	1	
EC:1.14.19.1	Stearoyl-CoA 9-desaturase.	1	
EC:1.14.19.9	Tryptophan 7-halogenase.	3	
EC:1.15.1.1	Superoxide dismutase.	1	
EC:1.16.1.3	Aquacobalamin reductase.	1	
EC:1.16.3.1	Ferroxidase.	2	
EC:1.16.3.2	Bacterial non-heme ferritin.	1	
EC:1.17.1.2	4-hydroxy-3-methylbut-2-enyl diphosphate reductase.	1	
EC:1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase.	1	
EC:1.17.4.1	Ribonucleoside-diphosphate reductase.	2	
EC:1.17.4.2	Ribonucleoside-triphosphate reductase.	1	
EC:1.17.7.1	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin).	1	
EC:1.17.7.3	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin).	1	
EC:1.17.99.6	Epoxyqueuosine reductase.	1	
EC:1.18.1.2	Ferredoxin--NADP(+) reductase.	1	
EC:1.2.1.-	Oxidoreductases. Acting on the aldehyde or oxo group of donors. With NAD(+) or NADP(+) as acceptor.	2	
EC:1.2.1.10	Acetaldehyde dehydrogenase (acetylating).	1	
EC:1.2.1.11	Aspartate-semialdehyde dehydrogenase.	1	
EC:1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating).	4	
EC:1.2.1.16	Succinate-semialdehyde dehydrogenase (NAD(P)(+)).	3	
EC:1.2.1.18	Malonate-semialdehyde dehydrogenase (acetylating).	2	
EC:1.2.1.2	Formate dehydrogenase.	3	
EC:1.2.1.20	Glutarate-semialdehyde dehydrogenase.	3	
EC:1.2.1.27	Methylmalonate-semialdehyde dehydrogenase (CoA acylating).	2	
EC:1.2.1.38	N-acetyl-gamma-glutamyl-phosphate reductase.	1	
EC:1.2.1.41	Glutamate-5-semialdehyde dehydrogenase.	2	
EC:1.2.1.68	Coniferyl-aldehyde dehydrogenase.	1	
EC:1.2.1.70	Glutamyl-tRNA reductase.	1	
EC:1.2.1.71	Succinylglutamate-semialdehyde dehydrogenase.	1	
EC:1.2.1.79	Succinate-semialdehyde dehydrogenase (NADP(+)).	3	
EC:1.2.1.8	Betaine-aldehyde dehydrogenase.	1	
EC:1.2.1.88	L-glutamate gamma-semialdehyde dehydrogenase.	1	
EC:1.2.4.1	Pyruvate dehydrogenase (acetyl-transferring).	1	
EC:1.2.4.2	Oxoglutarate dehydrogenase (succinyl-transferring).	1	
EC:1.2.4.4	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring).	2	
