Enzyme ID	Enzyme Name	Gene Count	
EC:1.-	Oxidoreductases.	1	
EC:1.1.1.-	Oxidoreductases. Acting on the CH-OH group of donors. With NAD(+) or NADP(+) as acceptor.	1	
EC:1.1.1.1	Alcohol dehydrogenase.	1	
EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase.	2	
EC:1.1.1.22	UDP-glucose 6-dehydrogenase.	1	
EC:1.1.1.23	Histidinol dehydrogenase.	1	
EC:1.1.1.25	Shikimate dehydrogenase.	1	
EC:1.1.1.261	sn-glycerol-1-phosphate dehydrogenase.	1	
EC:1.1.1.271	GDP-L-fucose synthase.	3	
EC:1.1.1.3	Homoserine dehydrogenase.	1	
EC:1.1.1.302	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase.	2	
EC:1.1.1.336	UDP-N-acetyl-D-mannosamine dehydrogenase.	1	
EC:1.1.1.34	Hydroxymethylglutaryl-CoA reductase (NADPH).	1	
EC:1.1.1.37	Malate dehydrogenase.	1	
EC:1.1.1.374	UDP-N-acetylglucosamine 3-dehydrogenase.	1	
EC:1.1.1.38	Malate dehydrogenase (oxaloacetate-decarboxylating).	1	
EC:1.1.1.42	Isocitrate dehydrogenase (NADP(+)).	1	
EC:1.1.1.85	3-isopropylmalate dehydrogenase.	1	
EC:1.1.1.86	Ketol-acid reductoisomerase (NADP(+)).	1	
EC:1.1.1.87	Homoisocitrate dehydrogenase.	1	
EC:1.1.1.95	Phosphoglycerate dehydrogenase.	2	
EC:1.1.3.15	(S)-2-hydroxy-acid oxidase.	1	
EC:1.1.98.2	Glucose-6-phosphate dehydrogenase (coenzyme-F420).	2	
EC:1.10.3.-	Oxidoreductases. Acting on diphenols and related substances as donors. With oxygen as acceptor.	2	
EC:1.11.1.15	Peroxiredoxin.	2	
EC:1.11.1.6	Catalase.	2	
EC:1.12.98.1	Coenzyme F420 hydrogenase.	4	
EC:1.12.99.6	Hydrogenase (acceptor).	3	
EC:1.15.1.1	Superoxide dismutase.	2	
EC:1.16.3.1	Ferroxidase.	1	
EC:1.16.3.2	Bacterial non-heme ferritin.	1	
EC:1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase.	1	
EC:1.17.4.1	Ribonucleoside-diphosphate reductase.	1	
EC:1.17.4.2	Ribonucleoside-triphosphate reductase.	1	
EC:1.18.1.2	Ferredoxin--NADP(+) reductase.	1	
EC:1.18.6.1	Nitrogenase.	16	
EC:1.2.1.11	Aspartate-semialdehyde dehydrogenase.	1	
EC:1.2.1.16	Succinate-semialdehyde dehydrogenase (NAD(P)(+)).	2	
EC:1.2.1.20	Glutarate-semialdehyde dehydrogenase.	2	
EC:1.2.1.3	Aldehyde dehydrogenase (NAD(+)).	1	
EC:1.2.1.38	N-acetyl-gamma-glutamyl-phosphate reductase.	1	
EC:1.2.1.41	Glutamate-5-semialdehyde dehydrogenase.	1	
EC:1.2.1.46	Formaldehyde dehydrogenase.	1	
EC:1.2.1.59	Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating).	2	
EC:1.2.1.70	Glutamyl-tRNA reductase.	1	
EC:1.2.1.79	Succinate-semialdehyde dehydrogenase (NADP(+)).	2	
EC:1.2.7.1	Pyruvate synthase.	5	
EC:1.2.7.11	2-oxoacid oxidoreductase (ferredoxin).	2	
EC:1.2.7.3	2-oxoglutarate synthase.	2	
EC:1.2.7.4	Carbon-monoxide dehydrogenase (ferredoxin).	3	
EC:1.2.7.5	Aldehyde ferredoxin oxidoreductase.	1	
EC:1.2.7.7	3-methyl-2-oxobutanoate dehydrogenase (ferredoxin).	3	
EC:1.2.7.8	Indolepyruvate ferredoxin oxidoreductase.	5	
EC:1.2.99.2	Carbon-monoxide dehydrogenase (acceptor).	1	
EC:1.2.99.5	Formylmethanofuran dehydrogenase.	14	
EC:1.20.4.1	Arsenate reductase (glutaredoxin).	1	
EC:1.3.1.101	2,3-bis-O-geranylgeranyl-sn-glycerol 1-phosphate reductase (NAD(P)H).	2	
EC:1.3.1.12	Prephenate dehydrogenase.	1	
EC:1.3.1.14	Dihydroorotate dehydrogenase (NAD(+)).	1	
EC:1.3.1.76	Precorrin-2 dehydrogenase.	1	
EC:1.3.1.98	UDP-N-acetylmuramate dehydrogenase.	1	
