Enzyme ID	Enzyme Name	Gene Count	
EC:1.1.1.-	Oxidoreductases. Acting on the CH-OH group of donors. With NAD(+) or NADP(+) as acceptor.	1	
EC:1.1.1.205	IMP dehydrogenase.	3	
EC:1.1.1.22	UDP-glucose 6-dehydrogenase.	1	
EC:1.1.1.23	Histidinol dehydrogenase.	1	
EC:1.1.1.25	Shikimate dehydrogenase.	1	
EC:1.1.1.261	sn-glycerol-1-phosphate dehydrogenase.	1	
EC:1.1.1.3	Homoserine dehydrogenase.	1	
EC:1.1.1.302	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase.	1	
EC:1.1.1.336	UDP-N-acetyl-D-mannosamine dehydrogenase.	1	
EC:1.1.1.337	L-2-hydroxycarboxylate dehydrogenase (NAD(+)).	1	
EC:1.1.1.34	Hydroxymethylglutaryl-CoA reductase (NADPH).	1	
EC:1.1.1.37	Malate dehydrogenase.	1	
EC:1.1.1.85	3-isopropylmalate dehydrogenase.	1	
EC:1.1.1.86	Ketol-acid reductoisomerase (NADP(+)).	1	
EC:1.1.1.87	Homoisocitrate dehydrogenase.	1	
EC:1.1.1.95	Phosphoglycerate dehydrogenase.	1	
EC:1.11.1.15	Peroxiredoxin.	1	
EC:1.12.98.1	Coenzyme F420 hydrogenase.	8	
EC:1.12.98.2	5,10-methenyltetrahydromethanopterin hydrogenase.	1	
EC:1.12.99.-	Oxidoreductases. Acting on hydrogen as donors. With other acceptors.	3	
EC:1.15.1.2	Superoxide reductase.	1	
EC:1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase.	1	
EC:1.17.4.2	Ribonucleoside-triphosphate reductase.	1	
EC:1.18.6.1	Nitrogenase.	1	
EC:1.2.1.11	Aspartate-semialdehyde dehydrogenase.	1	
EC:1.2.1.2	Formate dehydrogenase.	3	
EC:1.2.1.22	Lactaldehyde dehydrogenase.	1	
EC:1.2.1.38	N-acetyl-gamma-glutamyl-phosphate reductase.	1	
EC:1.2.1.59	Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating).	1	
EC:1.2.1.70	Glutamyl-tRNA reductase.	1	
EC:1.2.7.1	Pyruvate synthase.	4	
EC:1.2.7.11	2-oxoacid oxidoreductase (ferredoxin).	2	
EC:1.2.7.3	2-oxoglutarate synthase.	4	
EC:1.2.7.4	Carbon-monoxide dehydrogenase (ferredoxin).	2	
EC:1.2.7.6	Glyceraldehyde-3-phosphate dehydrogenase (ferredoxin).	1	
EC:1.2.99.2	Carbon-monoxide dehydrogenase (acceptor).	1	
EC:1.2.99.5	Formylmethanofuran dehydrogenase.	5	
EC:1.3.1.101	2,3-bis-O-geranylgeranyl-sn-glycerol 1-phosphate reductase (NAD(P)H).	1	
EC:1.3.1.106	Cobalt-precorrin-6A reductase.	1	
EC:1.3.1.12	Prephenate dehydrogenase.	1	
EC:1.3.1.14	Dihydroorotate dehydrogenase (NAD(+)).	1	
EC:1.3.1.54	Precorrin-6A reductase.	1	
EC:1.3.1.76	Precorrin-2 dehydrogenase.	1	
EC:1.3.4.1	Fumarate reductase (CoM/CoB).	2	
EC:1.3.7.11	2,3-bis-O-geranylgeranyl-sn-glycero-phospholipid reductase.	1	
EC:1.4.1.21	Aspartate dehydrogenase.	1	
EC:1.4.1.24	3-dehydroquinate synthase II.	1	
EC:1.5.98.1	Methylenetetrahydromethanopterin dehydrogenase.	1	
EC:1.5.98.2	5,10-methylenetetrahydromethanopterin reductase.	1	
EC:1.5.99.15	Dihydromethanopterin reductase (acceptor).	1	
EC:1.6.3.3	NADH oxidase (H(2)O(2)-forming).	1	
EC:1.7.99.1	Hydroxylamine reductase.	1	
EC:1.8.1.4	Dihydrolipoyl dehydrogenase.	1	
EC:1.8.1.9	Thioredoxin-disulfide reductase.	1	
EC:1.8.4.8	Phosphoadenylyl-sulfate reductase (thioredoxin).	1	
EC:1.8.98.1	CoB--CoM heterodisulfide reductase.	5	
EC:1.97.1.4	[Formate-C-acetyltransferase]-activating enzyme.	4	
EC:2.1.1.-	Transferases. Transferring one-carbon groups. Methyltransferases.	1	
EC:2.1.1.107	Uroporphyrinogen-III C-methyltransferase.	1	
EC:2.1.1.113	Site-specific DNA-methyltransferase (cytosine-N(4)-specific).	1	
EC:2.1.1.130	Precorrin-2 C(20)-methyltransferase.	1	
EC:2.1.1.131	Precorrin-3B C(17)-methyltransferase.	1	
EC:2.1.1.133	Precorrin-4 C(11)-methyltransferase.	1	
EC:2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase.	1	
EC:2.1.1.151	Cobalt-factor II C(20)-methyltransferase.	1	
EC:2.1.1.166	23S rRNA (uridine(2552)-2'-O)-methyltransferase.	1	
EC:2.1.1.172	16S rRNA (guanine(1207)-N(2))-methyltransferase.	1	
EC:2.1.1.182	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase.	1	
EC:2.1.1.191	23S rRNA (cytosine(1962)-C(5))-methyltransferase.	2	
EC:2.1.1.195	Cobalt-precorrin-5B (C(1))-methyltransferase.	1	
EC:2.1.1.196	Cobalt-precorrin-6B (C(15))-methyltransferase (decarboxylating).	1	
EC:2.1.1.206	tRNA (cytidine(56)-2'-O)-methyltransferase.	1	
EC:2.1.1.213	tRNA (guanine(10)-N(2))-dimethyltransferase.	1	
EC:2.1.1.215	tRNA (guanine(26)-N(2)/guanine(27)-N(2))-dimethyltransferase.	1	
EC:2.1.1.216	tRNA (guanine(26)-N(2))-dimethyltransferase.	1	
EC:2.1.1.219	tRNA (adenine(57)-N(1)/adenine(58)-N(1))-methyltransferase.	1	
EC:2.1.1.220	tRNA (adenine(58)-N(1))-methyltransferase.	1	
EC:2.1.1.228	tRNA (guanine(37)-N(1))-methyltransferase.	1	
EC:2.1.1.245	5-methyltetrahydrosarcinapterin:corrinoid/iron-sulfur protein Co-methyltransferase.	2	
EC:2.1.1.256	tRNA (guanine(6)-N(2))-methyltransferase.	1	
