Enzyme ID	Enzyme Name	Gene Count	
EC:1.1.1.-	Oxidoreductases. Acting on the CH-OH group of donors. With NAD(+) or NADP(+) as acceptor.	1	
EC:1.1.1.1	Alcohol dehydrogenase.	1	
EC:1.1.1.133	dTDP-4-dehydrorhamnose reductase.	1	
EC:1.1.1.137	Ribitol-5-phosphate 2-dehydrogenase.	1	
EC:1.1.1.2	Alcohol dehydrogenase (NADP(+)).	1	
EC:1.1.1.205	IMP dehydrogenase.	2	
EC:1.1.1.23	Histidinol dehydrogenase.	1	
EC:1.1.1.25	Shikimate dehydrogenase.	1	
EC:1.1.1.261	sn-glycerol-1-phosphate dehydrogenase.	1	
EC:1.1.1.3	Homoserine dehydrogenase.	2	
EC:1.1.1.302	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase.	2	
EC:1.1.1.337	L-2-hydroxycarboxylate dehydrogenase (NAD(+)).	1	
EC:1.1.1.34	Hydroxymethylglutaryl-CoA reductase (NADPH).	1	
EC:1.1.1.37	Malate dehydrogenase.	1	
EC:1.1.1.374	UDP-N-acetylglucosamine 3-dehydrogenase.	1	
EC:1.1.1.69	Gluconate 5-dehydrogenase.	1	
EC:1.1.1.85	3-isopropylmalate dehydrogenase.	2	
EC:1.1.1.86	Ketol-acid reductoisomerase (NADP(+)).	1	
EC:1.1.1.87	Homoisocitrate dehydrogenase.	1	
EC:1.1.1.95	Phosphoglycerate dehydrogenase.	1	
EC:1.11.1.15	Peroxiredoxin.	1	
EC:1.11.1.21	Catalase peroxidase.	1	
EC:1.12.98.1	Coenzyme F420 hydrogenase.	5	
EC:1.12.99.-	Oxidoreductases. Acting on hydrogen as donors. With other acceptors.	6	
EC:1.13.11.-	Oxidoreductases. Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O(2). With incorporation of two atoms of oxygen.	1	
EC:1.15.1.1	Superoxide dismutase.	1	
EC:1.15.1.2	Superoxide reductase.	1	
EC:1.16.3.1	Ferroxidase.	2	
