Enzyme ID	Enzyme Name	Gene Count	
EC:1.1.1.1	Alcohol dehydrogenase.	2	
EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase.	4	
EC:1.1.1.169	2-dehydropantoate 2-reductase.	1	
EC:1.1.1.205	IMP dehydrogenase.	1	
EC:1.1.1.23	Histidinol dehydrogenase.	1	
EC:1.1.1.25	Shikimate dehydrogenase.	1	
EC:1.1.1.26	Glyoxylate reductase.	1	
EC:1.1.1.261	sn-glycerol-1-phosphate dehydrogenase.	1	
EC:1.1.1.3	Homoserine dehydrogenase.	1	
EC:1.1.1.302	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase.	1	
EC:1.1.1.31	3-hydroxyisobutyrate dehydrogenase.	1	
EC:1.1.1.34	Hydroxymethylglutaryl-CoA reductase (NADPH).	1	
EC:1.1.1.35	3-hydroxyacyl-CoA dehydrogenase.	1	
EC:1.1.1.374	UDP-N-acetylglucosamine 3-dehydrogenase.	1	
EC:1.1.1.38	Malate dehydrogenase (oxaloacetate-decarboxylating).	1	
EC:1.1.1.41	Isocitrate dehydrogenase (NAD(+)).	1	
EC:1.1.1.47	Glucose 1-dehydrogenase (NAD(P)(+)).	1	
EC:1.1.1.85	3-isopropylmalate dehydrogenase.	1	
EC:1.1.1.86	Ketol-acid reductoisomerase (NADP(+)).	1	
EC:1.1.1.95	Phosphoglycerate dehydrogenase.	1	
EC:1.10.3.-	Oxidoreductases. Acting on diphenols and related substances as donors. With oxygen as acceptor.	2	
EC:1.11.1.15	Peroxiredoxin.	2	
EC:1.12.1.2	Hydrogen dehydrogenase.	1	
EC:1.12.99.-	Oxidoreductases. Acting on hydrogen as donors. With other acceptors.	2	
EC:1.12.99.6	Hydrogenase (acceptor).	2	
EC:1.14.-	Oxidoreductases. Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2).	1	
EC:1.15.1.2	Superoxide reductase.	1	
EC:1.17.4.1	Ribonucleoside-diphosphate reductase.	1	
EC:1.17.4.2	Ribonucleoside-triphosphate reductase.	1	
EC:1.2.1.-	Oxidoreductases. Acting on the aldehyde or oxo group of donors. With NAD(+) or NADP(+) as acceptor.	1	
EC:1.2.1.11	Aspartate-semialdehyde dehydrogenase.	1	
EC:1.2.1.2	Formate dehydrogenase.	1	
EC:1.2.1.59	Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating).	1	
EC:1.2.1.70	Glutamyl-tRNA reductase.	1	
EC:1.2.7.1	Pyruvate synthase.	8	
EC:1.2.7.11	2-oxoacid oxidoreductase (ferredoxin).	2	
EC:1.2.7.3	2-oxoglutarate synthase.	2	
EC:1.2.7.5	Aldehyde ferredoxin oxidoreductase.	3	
EC:1.2.7.6	Glyceraldehyde-3-phosphate dehydrogenase (ferredoxin).	1	
EC:1.3.1.12	Prephenate dehydrogenase.	1	
EC:1.3.1.14	Dihydroorotate dehydrogenase (NAD(+)).	1	
EC:1.3.1.76	Precorrin-2 dehydrogenase.	1	
EC:1.3.5.1	Succinate dehydrogenase (quinone).	2	
EC:1.3.5.4	Fumarate reductase (quinol).	2	
EC:1.3.8.7	Medium-chain acyl-CoA dehydrogenase.	1	
EC:1.4.1.1	Alanine dehydrogenase.	1	
EC:1.4.1.13	Glutamate synthase (NADPH).	1	
EC:1.4.1.14	Glutamate synthase (NADH).	1	
EC:1.4.1.21	Aspartate dehydrogenase.	1	
EC:1.4.1.3	Glutamate dehydrogenase (NAD(P)(+)).	1	
EC:1.4.4.2	Glycine dehydrogenase (aminomethyl-transferring).	2	
EC:1.5.1.2	Pyrroline-5-carboxylate reductase.	1	
EC:1.5.1.39	FMN reductase (NAD(P)H).	1	
EC:1.6.5.3	NADH:ubiquinone reductase (H(+)-translocating).	16	
EC:1.6.99.3	NADH dehydrogenase.	1	
EC:1.7.1.13	PreQ(1) synthase.	1	
EC:1.7.2.5	Nitric-oxide reductase (cytochrome c).	1	
EC:1.7.99.1	Hydroxylamine reductase.	1	
EC:1.7.99.4	Nitrate reductase.	1	
EC:1.8.1.4	Dihydrolipoyl dehydrogenase.	1	
EC:1.8.1.9	Thioredoxin-disulfide reductase.	1	
EC:1.8.4.8	Phosphoadenylyl-sulfate reductase (thioredoxin).	1	
EC:1.8.5.-	Oxidoreductases. Acting on a sulfur group of donors. With a quinone or similar compound as acceptor.	2	
EC:1.97.1.4	[Formate-C-acetyltransferase]-activating enzyme.	4	
EC:2.1.1.-	Transferases. Transferring one-carbon groups. Methyltransferases.	1	
EC:2.1.1.107	Uroporphyrinogen-III C-methyltransferase.	1	
EC:2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase.	2	
EC:2.1.1.148	Thymidylate synthase (FAD).	1	
EC:2.1.1.163	Demethylmenaquinone methyltransferase.	1	
EC:2.1.1.176	16S rRNA (cytosine(967)-C(5))-methyltransferase.	6	
EC:2.1.1.182	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase.	1	
