Enzyme ID	Enzyme Name	Gene Count	
EC:1.-	Oxidoreductases.	21	
EC:1.1.-	Oxidoreductases. Acting on the CH-OH group of donors.	1	
EC:1.1.1.-	Oxidoreductases. Acting on the CH-OH group of donors. With NAD(+) or NADP(+) as acceptor.	35	
EC:1.1.1.1	Alcohol dehydrogenase.	45	
EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase.	84	
EC:1.1.1.103	L-threonine 3-dehydrogenase.	3	
EC:1.1.1.108	Carnitine 3-dehydrogenase.	4	
EC:1.1.1.11	D-arabinitol 4-dehydrogenase.	2	
EC:1.1.1.116	D-arabinose 1-dehydrogenase (NAD(+)).	1	
EC:1.1.1.122	D-threo-aldose 1-dehydrogenase.	8	
EC:1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase.	3	
EC:1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase.	2	
EC:1.1.1.133	dTDP-4-dehydrorhamnose reductase.	5	
EC:1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase.	4	
EC:1.1.1.14	L-iditol 2-dehydrogenase.	19	
EC:1.1.1.140	Sorbitol-6-phosphate 2-dehydrogenase.	2	
EC:1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase.	14	
EC:1.1.1.159	7-alpha-hydroxysteroid dehydrogenase.	4	
EC:1.1.1.169	2-dehydropantoate 2-reductase.	13	
EC:1.1.1.17	Mannitol-1-phosphate 5-dehydrogenase.	3	
EC:1.1.1.173	L-rhamnose 1-dehydrogenase.	1	
EC:1.1.1.18	Inositol 2-dehydrogenase.	17	
EC:1.1.1.193	5-amino-6-(5-phosphoribosylamino)uracil reductase.	35	
EC:1.1.1.203	Uronate dehydrogenase.	6	
EC:1.1.1.205	IMP dehydrogenase.	39	
EC:1.1.1.219	Dihydrokaempferol 4-reductase.	7	
EC:1.1.1.22	UDP-glucose 6-dehydrogenase.	29	
EC:1.1.1.23	Histidinol dehydrogenase.	24	
EC:1.1.1.25	Shikimate dehydrogenase.	27	
EC:1.1.1.26	Glyoxylate reductase.	9	
EC:1.1.1.261	sn-glycerol-1-phosphate dehydrogenase.	8	
EC:1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase.	16	
EC:1.1.1.264	L-idonate 5-dehydrogenase (NAD(P)(+)).	1	
EC:1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase.	18	
EC:1.1.1.271	GDP-L-fucose synthase.	20	
EC:1.1.1.272	D-2-hydroxyacid dehydrogenase (NADP(+)).	1	
EC:1.1.1.28	D-lactate dehydrogenase.	6	
EC:1.1.1.281	GDP-4-dehydro-6-deoxy-D-mannose reductase.	2	
EC:1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase.	33	
EC:1.1.1.29	Glycerate dehydrogenase.	6	
EC:1.1.1.290	4-phosphoerythronate dehydrogenase.	2	
EC:1.1.1.291	2-hydroxymethylglutarate dehydrogenase.	2	
EC:1.1.1.292	1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming).	1	
EC:1.1.1.3	Homoserine dehydrogenase.	24	
EC:1.1.1.30	3-hydroxybutyrate dehydrogenase.	6	
EC:1.1.1.300	NADP-retinol dehydrogenase.	2	
EC:1.1.1.302	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase.	4	
EC:1.1.1.303	Diacetyl reductase ((R)-acetoin forming).	1	
EC:1.1.1.304	Diacetyl reductase ((S)-acetoin forming).	7	
EC:1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase.	3	
EC:1.1.1.308	Sulfopropanediol 3-dehydrogenase.	12	
EC:1.1.1.31	3-hydroxyisobutyrate dehydrogenase.	34	
EC:1.1.1.310	(S)-sulfolactate dehydrogenase.	3	
EC:1.1.1.316	L-galactose 1-dehydrogenase.	2	
EC:1.1.1.320	Benzil reductase ((S)-benzoin forming).	1	
EC:1.1.1.335	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase.	1	
EC:1.1.1.336	UDP-N-acetyl-D-mannosamine dehydrogenase.	2	
EC:1.1.1.338	(2R)-3-sulfolactate dehydrogenase (NADP(+)).	1	
EC:1.1.1.339	dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(+)).	1	
EC:1.1.1.343	Phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating).	9	
EC:1.1.1.346	2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming).	5	
EC:1.1.1.35	3-hydroxyacyl-CoA dehydrogenase.	38	
EC:1.1.1.36	Acetoacetyl-CoA reductase.	7	
EC:1.1.1.363	Glucose-6-phosphate dehydrogenase (NAD(P)(+)).	21	
EC:1.1.1.369	D-chiro-inositol 1-dehydrogenase.	17	
EC:1.1.1.37	Malate dehydrogenase.	43	
EC:1.1.1.374	UDP-N-acetylglucosamine 3-dehydrogenase.	2	
EC:1.1.1.377	L-rhamnose 1-dehydrogenase (NADP(+)).	1	
EC:1.1.1.378	L-rhamnose 1-dehydrogenase (NAD(P)(+)).	1	
EC:1.1.1.38	Malate dehydrogenase (oxaloacetate-decarboxylating).	10	
EC:1.1.1.385	Dihydroanticapsin 7-dehydrogenase.	4	
EC:1.1.1.4	(R,R)-butanediol dehydrogenase.	1	
EC:1.1.1.40	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)).	19	
EC:1.1.1.41	Isocitrate dehydrogenase (NAD(+)).	9	
EC:1.1.1.42	Isocitrate dehydrogenase (NADP(+)).	27	
EC:1.1.1.43	Phosphogluconate 2-dehydrogenase.	1	
EC:1.1.1.44	Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating).	9	
EC:1.1.1.47	Glucose 1-dehydrogenase (NAD(P)(+)).	3	
EC:1.1.1.48	D-galactose 1-dehydrogenase.	2	
EC:1.1.1.49	Glucose-6-phosphate dehydrogenase (NADP(+)).	21	
EC:1.1.1.51	3(or 17)-beta-hydroxysteroid dehydrogenase.	1	
EC:1.1.1.53	3-alpha(or 20-beta)-hydroxysteroid dehydrogenase.	7	
EC:1.1.1.57	Fructuronate reductase.	3	
EC:1.1.1.58	Tagaturonate reductase.	1	
EC:1.1.1.6	Glycerol dehydrogenase.	1	
EC:1.1.1.60	2-hydroxy-3-oxopropionate reductase.	19	
EC:1.1.1.65	Pyridoxine 4-dehydrogenase.	3	
EC:1.1.1.67	Mannitol 2-dehydrogenase.	1	
EC:1.1.1.69	Gluconate 5-dehydrogenase.	9	
EC:1.1.1.76	(S,S)-butanediol dehydrogenase.	7	
EC:1.1.1.77	Lactaldehyde reductase.	1	
EC:1.1.1.79	Glyoxylate reductase (NADP(+)).	3	
EC:1.1.1.81	Hydroxypyruvate reductase.	19	
EC:1.1.1.83	D-malate dehydrogenase (decarboxylating).	5	
EC:1.1.1.85	3-isopropylmalate dehydrogenase.	24	
EC:1.1.1.86	Ketol-acid reductoisomerase (NADP(+)).	25	
EC:1.1.1.88	Hydroxymethylglutaryl-CoA reductase.	7	
EC:1.1.1.91	Aryl-alcohol dehydrogenase (NADP(+)).	1	
EC:1.1.1.93	Tartrate dehydrogenase.	5	
EC:1.1.1.94	Glycerol-3-phosphate dehydrogenase (NAD(P)(+)).	17	
EC:1.1.1.95	Phosphoglycerate dehydrogenase.	52	
EC:1.1.2.3	L-lactate dehydrogenase (cytochrome).	8	
EC:1.1.2.4	D-lactate dehydrogenase (cytochrome).	10	
EC:1.1.2.6	Polyvinyl alcohol dehydrogenase (cytochrome).	3	
EC:1.1.2.8	Alcohol dehydrogenase (cytochrome c).	16	
EC:1.1.3.-	Oxidoreductases. Acting on the CH-OH group of donors. With oxygen as acceptor.	6	
EC:1.1.3.15	(S)-2-hydroxy-acid oxidase.	21	
EC:1.1.3.46	4-hydroxymandelate oxidase.	5	
EC:1.1.3.47	5-(hydroxymethyl)furfural oxidase.	1	
EC:1.1.3.6	Cholesterol oxidase.	1	
EC:1.1.5.2	Quinoprotein glucose dehydrogenase (PQQ, quinone).	23	
EC:1.1.5.3	Glycerol-3-phosphate dehydrogenase.	15	
EC:1.1.5.4	Malate dehydrogenase (quinone).	1	
EC:1.1.9.1	Alcohol dehydrogenase (azurin).	7	
EC:1.1.99.1	Choline dehydrogenase.	30	
EC:1.1.99.21	D-sorbitol dehydrogenase (acceptor).	1	
EC:1.1.99.24	Hydroxyacid-oxoacid transhydrogenase.	2	
EC:1.1.99.31	(S)-mandelate dehydrogenase.	1	
EC:1.10.2.2	Quinol--cytochrome-c reductase.	9	
EC:1.10.3.-	Oxidoreductases. Acting on diphenols and related substances as donors. With oxygen as acceptor.	10	
EC:1.10.3.3	L-ascorbate oxidase.	2	
EC:1.10.9.1	Plastoquinol--plastocyanin reductase.	2	
EC:1.11.1.-	Oxidoreductases. Acting on a peroxide as acceptor. Peroxidases.	1	
EC:1.11.1.10	Chloride peroxidase.	1	
EC:1.11.1.15	Peroxiredoxin.	27	
EC:1.11.1.21	Catalase peroxidase.	21	
EC:1.11.1.5	Cytochrome-c peroxidase.	8	
EC:1.11.1.6	Catalase.	3	
EC:1.11.1.9	Glutathione peroxidase.	6	
