Pfam ID	Pfam Name	Gene Count (assembled)	
pfam00001	7 transmembrane receptor (rhodopsin family)	1	
pfam00002	7 transmembrane receptor (Secretin family)	4	
pfam00003	7 transmembrane sweet-taste receptor of 3 GCPR	1	
pfam00004	ATPase family associated with various cellular activities (AAA)	118	
pfam00005	ABC transporter	792	
pfam00006	ATP synthase alpha/beta family, nucleotide-binding domain	78	
pfam00008	EGF-like domain	1	
pfam00009	Elongation factor Tu GTP binding domain	123	
pfam00011	Hsp20/alpha crystallin family	24	
pfam00012	Hsp70 protein	57	
pfam00013	KH domain	29	
pfam00015	Methyl-accepting chemotaxis protein (MCP) signalling domain	2	
pfam00016	Ribulose bisphosphate carboxylase large chain, catalytic domain	1	
pfam00017	SH2 domain	2	
pfam00018	SH3 domain	1	
pfam00023	Ankyrin repeat	27	
pfam00025	ADP-ribosylation factor family	1	
pfam00027	Cyclic nucleotide-binding domain	14	
pfam00028	Cadherin domain	15	
pfam00030	Beta/Gamma crystallin	3	
pfam00032	Cytochrome b(C-terminal)/b6/petD	16	
pfam00033	Cytochrome b/b6/petB	14	
pfam00034	Cytochrome c	32	
pfam00035	Double-stranded RNA binding motif	9	
pfam00036	EF hand	2	
pfam00037	4Fe-4S binding domain	33	
pfam00041	Fibronectin type III domain	173	
pfam00043	Glutathione S-transferase, C-terminal domain	21	
pfam00044	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	31	
pfam00046	Homeobox domain	1	
pfam00047	Immunoglobulin domain	2	
pfam00050	Kazal-type serine protease inhibitor domain	1	
pfam00056	lactate/malate dehydrogenase, NAD binding domain	23	
pfam00058	Low-density lipoprotein receptor repeat class B	2	
pfam00059	Lectin C-type domain	1	
pfam00067	Cytochrome P450	29	
pfam00069	Protein kinase domain	26	
pfam00070	Pyridine nucleotide-disulphide oxidoreductase	3	
pfam00072	Response regulator receiver domain	102	
pfam00075	RNase H	17	
pfam00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	8	
pfam00077	Retroviral aspartyl protease	6	
pfam00078	Reverse transcriptase (RNA-dependent DNA polymerase)	91	
pfam00079	Serpin (serine protease inhibitor)	2	
pfam00080	Copper/zinc superoxide dismutase (SODC)	1	
